layer,threshold,tp,tn,fp,fn,precision,recall,f1
l1_regex,0.0000,2438,0,5562,0,0.304750,1.000000,0.467139
l1_regex,0.0100,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0200,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0300,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0400,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0500,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0600,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0700,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0800,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.0900,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1000,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1100,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1200,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1300,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1400,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1500,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1600,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1700,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1800,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.1900,551,5526,36,1887,0.938671,0.226005,0.364298
l1_regex,0.2000,550,5527,35,1888,0.940171,0.225595,0.363877
l1_regex,0.2100,550,5527,35,1888,0.940171,0.225595,0.363877
l1_regex,0.2200,550,5527,35,1888,0.940171,0.225595,0.363877
l1_regex,0.2300,550,5529,33,1888,0.943396,0.225595,0.364118
l1_regex,0.2400,550,5529,33,1888,0.943396,0.225595,0.364118
l1_regex,0.2500,550,5529,33,1888,0.943396,0.225595,0.364118
l1_regex,0.2600,548,5530,32,1890,0.944828,0.224774,0.363154
l1_regex,0.2700,548,5530,32,1890,0.944828,0.224774,0.363154
l1_regex,0.2800,548,5530,32,1890,0.944828,0.224774,0.363154
l1_regex,0.2900,547,5530,32,1891,0.944732,0.224364,0.362612
l1_regex,0.3000,547,5530,32,1891,0.944732,0.224364,0.362612
l1_regex,0.3100,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3200,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3300,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3400,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3500,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3600,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3700,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3800,539,5546,16,1899,0.971171,0.221083,0.360174
l1_regex,0.3900,538,5546,16,1900,0.971119,0.220673,0.359626
l1_regex,0.4000,538,5546,16,1900,0.971119,0.220673,0.359626
l1_regex,0.4100,538,5546,16,1900,0.971119,0.220673,0.359626
l1_regex,0.4200,538,5546,16,1900,0.971119,0.220673,0.359626
l1_regex,0.4300,538,5546,16,1900,0.971119,0.220673,0.359626
l1_regex,0.4400,538,5546,16,1900,0.971119,0.220673,0.359626
l1_regex,0.4500,538,5546,16,1900,0.971119,0.220673,0.359626
l1_regex,0.4600,537,5549,13,1901,0.976364,0.220263,0.359438
l1_regex,0.4700,537,5549,13,1901,0.976364,0.220263,0.359438
l1_regex,0.4800,536,5549,13,1902,0.976321,0.219852,0.358889
l1_regex,0.4900,536,5550,12,1902,0.978102,0.219852,0.359009
l1_regex,0.5000,535,5550,12,1903,0.978062,0.219442,0.358459
l1_regex,0.5100,535,5550,12,1903,0.978062,0.219442,0.358459
l1_regex,0.5200,535,5550,12,1903,0.978062,0.219442,0.358459
l1_regex,0.5300,535,5550,12,1903,0.978062,0.219442,0.358459
l1_regex,0.5400,535,5550,12,1903,0.978062,0.219442,0.358459
l1_regex,0.5500,535,5550,12,1903,0.978062,0.219442,0.358459
l1_regex,0.5600,535,5550,12,1903,0.978062,0.219442,0.358459
l1_regex,0.5700,534,5550,12,1904,0.978022,0.219032,0.357909
l1_regex,0.5800,534,5550,12,1904,0.978022,0.219032,0.357909
l1_regex,0.5900,534,5550,12,1904,0.978022,0.219032,0.357909
l1_regex,0.6000,534,5550,12,1904,0.978022,0.219032,0.357909
l1_regex,0.6100,532,5550,12,1906,0.977941,0.218212,0.356808
l1_regex,0.6200,532,5550,12,1906,0.977941,0.218212,0.356808
l1_regex,0.6300,532,5550,12,1906,0.977941,0.218212,0.356808
l1_regex,0.6400,528,5550,12,1910,0.977778,0.216571,0.354600
l1_regex,0.6500,528,5550,12,1910,0.977778,0.216571,0.354600
l1_regex,0.6600,527,5550,12,1911,0.977737,0.216161,0.354048
l1_regex,0.6700,518,5550,12,1920,0.977358,0.212469,0.349057
l1_regex,0.6800,518,5550,12,1920,0.977358,0.212469,0.349057
l1_regex,0.6900,518,5550,12,1920,0.977358,0.212469,0.349057
l1_regex,0.7000,518,5550,12,1920,0.977358,0.212469,0.349057
l1_regex,0.7100,518,5550,12,1920,0.977358,0.212469,0.349057
l1_regex,0.7200,518,5550,12,1920,0.977358,0.212469,0.349057
l1_regex,0.7300,512,5550,12,1926,0.977099,0.210008,0.345712
l1_regex,0.7400,512,5550,12,1926,0.977099,0.210008,0.345712
l1_regex,0.7500,512,5550,12,1926,0.977099,0.210008,0.345712
l1_regex,0.7600,504,5556,6,1934,0.988235,0.206727,0.341927
l1_regex,0.7700,504,5556,6,1934,0.988235,0.206727,0.341927
l1_regex,0.7800,504,5556,6,1934,0.988235,0.206727,0.341927
l1_regex,0.7900,478,5556,6,1960,0.987603,0.196062,0.327173
l1_regex,0.8000,478,5556,6,1960,0.987603,0.196062,0.327173
l1_regex,0.8100,475,5556,6,1963,0.987526,0.194832,0.325454
l1_regex,0.8200,438,5561,1,2000,0.997722,0.179655,0.304484
l1_regex,0.8300,438,5561,1,2000,0.997722,0.179655,0.304484
l1_regex,0.8400,438,5561,1,2000,0.997722,0.179655,0.304484
l1_regex,0.8500,438,5561,1,2000,0.997722,0.179655,0.304484
l1_regex,0.8600,435,5561,1,2003,0.997706,0.178425,0.302714
l1_regex,0.8700,435,5561,1,2003,0.997706,0.178425,0.302714
l1_regex,0.8800,435,5561,1,2003,0.997706,0.178425,0.302714
l1_regex,0.8900,324,5561,1,2114,0.996923,0.132896,0.234528
l1_regex,0.9000,324,5561,1,2114,0.996923,0.132896,0.234528
l1_regex,0.9100,263,5561,1,2175,0.996212,0.107875,0.194671
l1_regex,0.9200,263,5561,1,2175,0.996212,0.107875,0.194671
l1_regex,0.9300,102,5561,1,2336,0.990291,0.041838,0.080283
l1_regex,0.9400,24,5562,0,2414,1.000000,0.009844,0.019496
l1_regex,0.9500,19,5562,0,2419,1.000000,0.007793,0.015466
l1_regex,0.9600,19,5562,0,2419,1.000000,0.007793,0.015466
l1_regex,0.9700,18,5562,0,2420,1.000000,0.007383,0.014658
l1_regex,0.9800,18,5562,0,2420,1.000000,0.007383,0.014658
l1_regex,0.9900,18,5562,0,2420,1.000000,0.007383,0.014658
l1_regex,1.0000,18,5562,0,2420,1.000000,0.007383,0.014658
l2_classifier,0.0000,2438,0,5562,0,0.304750,1.000000,0.467139
l2_classifier,0.0100,2436,3630,1932,2,0.557692,0.999180,0.715839
l2_classifier,0.0200,2432,5118,444,6,0.845619,0.997539,0.915318
l2_classifier,0.0300,2429,5348,214,9,0.919031,0.996308,0.956111
l2_classifier,0.0400,2428,5420,142,10,0.944747,0.995898,0.969649
l2_classifier,0.0500,2427,5454,108,11,0.957396,0.995488,0.976071
l2_classifier,0.0600,2426,5487,75,12,0.970012,0.995078,0.982385
l2_classifier,0.0700,2424,5495,67,14,0.973103,0.994258,0.983567
l2_classifier,0.0800,2423,5505,57,15,0.977016,0.993847,0.985360
l2_classifier,0.0900,2423,5513,49,15,0.980178,0.993847,0.986965
l2_classifier,0.1000,2420,5518,44,18,0.982143,0.992617,0.987352
l2_classifier,0.1100,2419,5521,41,19,0.983333,0.992207,0.987750
l2_classifier,0.1200,2418,5523,39,20,0.984127,0.991797,0.987947
l2_classifier,0.1300,2418,5528,34,20,0.986134,0.991797,0.988957
l2_classifier,0.1400,2418,5528,34,20,0.986134,0.991797,0.988957
l2_classifier,0.1500,2418,5531,31,20,0.987342,0.991797,0.989564
l2_classifier,0.1600,2417,5533,29,21,0.988144,0.991386,0.989762
l2_classifier,0.1700,2416,5534,28,22,0.988543,0.990976,0.989758
l2_classifier,0.1800,2416,5535,27,22,0.988948,0.990976,0.989961
l2_classifier,0.1900,2416,5536,26,22,0.989353,0.990976,0.990164
l2_classifier,0.2000,2416,5537,25,22,0.989758,0.990976,0.990367
l2_classifier,0.2100,2416,5538,24,22,0.990164,0.990976,0.990570
l2_classifier,0.2200,2416,5539,23,22,0.990570,0.990976,0.990773
l2_classifier,0.2300,2416,5542,20,22,0.991790,0.990976,0.991383
l2_classifier,0.2400,2414,5542,20,24,0.991783,0.990156,0.990969
l2_classifier,0.2500,2413,5544,18,25,0.992596,0.989746,0.991169
l2_classifier,0.2600,2413,5545,17,25,0.993004,0.989746,0.991372
l2_classifier,0.2700,2413,5546,16,25,0.993413,0.989746,0.991576
l2_classifier,0.2800,2413,5546,16,25,0.993413,0.989746,0.991576
l2_classifier,0.2900,2413,5546,16,25,0.993413,0.989746,0.991576
l2_classifier,0.3000,2412,5546,16,26,0.993410,0.989336,0.991369
l2_classifier,0.3100,2412,5547,15,26,0.993820,0.989336,0.991572
l2_classifier,0.3200,2412,5548,14,26,0.994229,0.989336,0.991776
l2_classifier,0.3300,2411,5548,14,27,0.994227,0.988925,0.991569
l2_classifier,0.3400,2410,5548,14,28,0.994224,0.988515,0.991362
l2_classifier,0.3500,2408,5548,14,30,0.994220,0.987695,0.990947
l2_classifier,0.3600,2408,5548,14,30,0.994220,0.987695,0.990947
l2_classifier,0.3700,2408,5548,14,30,0.994220,0.987695,0.990947
l2_classifier,0.3800,2408,5548,14,30,0.994220,0.987695,0.990947
l2_classifier,0.3900,2408,5548,14,30,0.994220,0.987695,0.990947
l2_classifier,0.4000,2408,5548,14,30,0.994220,0.987695,0.990947
l2_classifier,0.4100,2408,5549,13,30,0.994630,0.987695,0.991150
l2_classifier,0.4200,2408,5549,13,30,0.994630,0.987695,0.991150
l2_classifier,0.4300,2408,5549,13,30,0.994630,0.987695,0.991150
l2_classifier,0.4400,2408,5549,13,30,0.994630,0.987695,0.991150
l2_classifier,0.4500,2408,5549,13,30,0.994630,0.987695,0.991150
l2_classifier,0.4600,2408,5549,13,30,0.994630,0.987695,0.991150
l2_classifier,0.4700,2408,5549,13,30,0.994630,0.987695,0.991150
l2_classifier,0.4800,2407,5549,13,31,0.994628,0.987285,0.990943
l2_classifier,0.4900,2405,5549,13,33,0.994624,0.986464,0.990527
l2_classifier,0.5000,2405,5550,12,33,0.995035,0.986464,0.990731
l2_classifier,0.5100,2405,5550,12,33,0.995035,0.986464,0.990731
l2_classifier,0.5200,2404,5550,12,34,0.995033,0.986054,0.990523
l2_classifier,0.5300,2404,5550,12,34,0.995033,0.986054,0.990523
l2_classifier,0.5400,2400,5551,11,38,0.995438,0.984413,0.989895
l2_classifier,0.5500,2399,5551,11,39,0.995436,0.984003,0.989686
l2_classifier,0.5600,2399,5551,11,39,0.995436,0.984003,0.989686
l2_classifier,0.5700,2399,5551,11,39,0.995436,0.984003,0.989686
l2_classifier,0.5800,2399,5551,11,39,0.995436,0.984003,0.989686
l2_classifier,0.5900,2398,5553,9,40,0.996261,0.983593,0.989886
l2_classifier,0.6000,2398,5553,9,40,0.996261,0.983593,0.989886
l2_classifier,0.6100,2396,5553,9,42,0.996258,0.982773,0.989469
l2_classifier,0.6200,2396,5553,9,42,0.996258,0.982773,0.989469
l2_classifier,0.6300,2396,5553,9,42,0.996258,0.982773,0.989469
l2_classifier,0.6400,2396,5554,8,42,0.996672,0.982773,0.989674
l2_classifier,0.6500,2395,5554,8,43,0.996671,0.982363,0.989465
l2_classifier,0.6600,2394,5554,8,44,0.996669,0.981952,0.989256
l2_classifier,0.6700,2393,5554,8,45,0.996668,0.981542,0.989047
l2_classifier,0.6800,2391,5554,8,47,0.996665,0.980722,0.988629
l2_classifier,0.6900,2390,5554,8,48,0.996664,0.980312,0.988420
l2_classifier,0.7000,2389,5554,8,49,0.996662,0.979902,0.988211
l2_classifier,0.7100,2387,5555,7,51,0.997076,0.979081,0.987997
l2_classifier,0.7200,2386,5555,7,52,0.997075,0.978671,0.987787
l2_classifier,0.7300,2383,5555,7,55,0.997071,0.977441,0.987158
l2_classifier,0.7400,2380,5555,7,58,0.997067,0.976210,0.986528
l2_classifier,0.7500,2379,5555,7,59,0.997066,0.975800,0.986318
l2_classifier,0.7600,2378,5555,7,60,0.997065,0.975390,0.986108
l2_classifier,0.7700,2378,5555,7,60,0.997065,0.975390,0.986108
l2_classifier,0.7800,2377,5555,7,61,0.997064,0.974979,0.985898
l2_classifier,0.7900,2374,5555,7,64,0.997060,0.973749,0.985267
l2_classifier,0.8000,2373,5555,7,65,0.997059,0.973339,0.985056
l2_classifier,0.8100,2372,5555,7,66,0.997058,0.972929,0.984845
l2_classifier,0.8200,2371,5555,7,67,0.997056,0.972518,0.984635
l2_classifier,0.8300,2367,5556,6,71,0.997472,0.970878,0.983995
l2_classifier,0.8400,2362,5557,5,76,0.997888,0.968827,0.983143
l2_classifier,0.8500,2358,5557,5,80,0.997884,0.967186,0.982295
l2_classifier,0.8600,2356,5557,5,82,0.997882,0.966366,0.981871
l2_classifier,0.8700,2352,5557,5,86,0.997879,0.964725,0.981022
l2_classifier,0.8800,2348,5557,5,90,0.997875,0.963084,0.980171
l2_classifier,0.8900,2343,5558,4,95,0.998296,0.961034,0.979310
l2_classifier,0.9000,2340,5558,4,98,0.998294,0.959803,0.978670
l2_classifier,0.9100,2336,5558,4,102,0.998291,0.958162,0.977815
l2_classifier,0.9200,2328,5558,4,110,0.998285,0.954881,0.976101
l2_classifier,0.9300,2322,5559,3,116,0.998710,0.952420,0.975016
l2_classifier,0.9400,2319,5559,3,119,0.998708,0.951189,0.974370
l2_classifier,0.9500,2313,5559,3,125,0.998705,0.948728,0.973075
l2_classifier,0.9600,2291,5559,3,147,0.998692,0.939705,0.968301
l2_classifier,0.9700,2022,5559,3,416,0.998519,0.829368,0.906117
l2_classifier,0.9800,1352,5559,3,1086,0.997786,0.554553,0.712892
l2_classifier,0.9900,762,5561,1,1676,0.998689,0.312551,0.476101
l2_classifier,1.0000,336,5562,0,2102,1.000000,0.137818,0.242249
l3_similarity,0.0000,2438,0,5562,0,0.304750,1.000000,0.467139
l3_similarity,0.0100,2438,1140,4422,0,0.355394,1.000000,0.524414
l3_similarity,0.0200,2438,1148,4414,0,0.355809,1.000000,0.524865
l3_similarity,0.0300,2438,1153,4409,0,0.356068,1.000000,0.525148
l3_similarity,0.0400,2438,1158,4404,0,0.356329,1.000000,0.525431
l3_similarity,0.0500,2438,1165,4397,0,0.356693,1.000000,0.525828
l3_similarity,0.0600,2438,1171,4391,0,0.357007,1.000000,0.526168
l3_similarity,0.0700,2438,1180,4382,0,0.357478,1.000000,0.526680
l3_similarity,0.0800,2438,1193,4369,0,0.358161,1.000000,0.527420
l3_similarity,0.0900,2438,1198,4364,0,0.358424,1.000000,0.527706
l3_similarity,0.1000,2438,1201,4361,0,0.358582,1.000000,0.527877
l3_similarity,0.1100,2438,1206,4356,0,0.358846,1.000000,0.528163
l3_similarity,0.1200,2438,1210,4352,0,0.359057,1.000000,0.528392
l3_similarity,0.1300,2438,1218,4344,0,0.359481,1.000000,0.528850
l3_similarity,0.1400,2438,1222,4340,0,0.359693,1.000000,0.529080
l3_similarity,0.1500,2438,1227,4335,0,0.359959,1.000000,0.529367
l3_similarity,0.1600,2438,1233,4329,0,0.360278,1.000000,0.529712
l3_similarity,0.1700,2438,1239,4323,0,0.360598,1.000000,0.530058
l3_similarity,0.1800,2438,1251,4311,0,0.361239,1.000000,0.530750
l3_similarity,0.1900,2437,1256,4306,1,0.361412,0.999590,0.530879
l3_similarity,0.2000,2437,1266,4296,1,0.361949,0.999590,0.531458
l3_similarity,0.2100,2437,1273,4289,1,0.362325,0.999590,0.531864
l3_similarity,0.2200,2437,1278,4284,1,0.362595,0.999590,0.532154
l3_similarity,0.2300,2436,1289,4273,2,0.363094,0.999180,0.532634
l3_similarity,0.2400,2436,1298,4264,2,0.363582,0.999180,0.533158
l3_similarity,0.2500,2435,1302,4260,3,0.363704,0.998769,0.533231
l3_similarity,0.2600,2435,1314,4248,3,0.364357,0.998769,0.533933
l3_similarity,0.2700,2435,1319,4243,3,0.364630,0.998769,0.534226
l3_similarity,0.2800,2435,1329,4233,3,0.365177,0.998769,0.534812
l3_similarity,0.2900,2435,1338,4224,3,0.365671,0.998769,0.535341
l3_similarity,0.3000,2435,1349,4213,3,0.366276,0.998769,0.535989
l3_similarity,0.3100,2435,1355,4207,3,0.366606,0.998769,0.536344
l3_similarity,0.3200,2435,1363,4199,3,0.367049,0.998769,0.536817
l3_similarity,0.3300,2435,1372,4190,3,0.367547,0.998769,0.537350
l3_similarity,0.3400,2435,1378,4184,3,0.367880,0.998769,0.537706
l3_similarity,0.3500,2434,1388,4174,4,0.368341,0.998359,0.538138
l3_similarity,0.3600,2434,1396,4166,4,0.368788,0.998359,0.538615
l3_similarity,0.3700,2434,1402,4160,4,0.369123,0.998359,0.538973
l3_similarity,0.3800,2434,1415,4147,4,0.369853,0.998359,0.539749
l3_similarity,0.3900,2434,1425,4137,4,0.370415,0.998359,0.540349
l3_similarity,0.4000,2434,1437,4125,4,0.371093,0.998359,0.541069
l3_similarity,0.4100,2434,1446,4116,4,0.371603,0.998359,0.541611
l3_similarity,0.4200,2434,1455,4107,4,0.372114,0.998359,0.542154
l3_similarity,0.4300,2434,1461,4101,4,0.372456,0.998359,0.542516
l3_similarity,0.4400,2434,1468,4094,4,0.372855,0.998359,0.542940
l3_similarity,0.4500,2434,1476,4086,4,0.373313,0.998359,0.543425
l3_similarity,0.4600,2434,1486,4076,4,0.373886,0.998359,0.544032
l3_similarity,0.4700,2434,1499,4063,4,0.374634,0.998359,0.544824
l3_similarity,0.4800,2434,1508,4054,4,0.375154,0.998359,0.545373
l3_similarity,0.4900,2433,1519,4043,5,0.375695,0.997949,0.545883
l3_similarity,0.5000,2433,1529,4033,5,0.376276,0.997949,0.546496
l3_similarity,0.5100,2433,1537,4025,5,0.376742,0.997949,0.546987
l3_similarity,0.5200,2433,1544,4018,5,0.377151,0.997949,0.547418
l3_similarity,0.5300,2432,1552,4010,6,0.377523,0.997539,0.547748
l3_similarity,0.5400,2431,1562,4000,7,0.378013,0.997129,0.548202
l3_similarity,0.5500,2431,1573,3989,7,0.378660,0.997129,0.548882
l3_similarity,0.5600,2430,1587,3975,8,0.379391,0.996719,0.549587
l3_similarity,0.5700,2428,1600,3962,10,0.379969,0.995898,0.550068
l3_similarity,0.5800,2427,1615,3947,11,0.380766,0.995488,0.550840
l3_similarity,0.5900,2426,1623,3939,12,0.381147,0.995078,0.551176
l3_similarity,0.6000,2426,1641,3921,12,0.382228,0.995078,0.552305
l3_similarity,0.6100,2425,1655,3907,13,0.382975,0.994668,0.553022
